First Name,Gender,Senior Management,Team,Start Date,Last Login Time,Salary,Bonus %
Edward,Male,false,Sales,07/23/2007,8:05 PM,53947.0,3.442
Eric,Female,false,Finance,09/18/1998,8:25 PM,101202.0,8.231
Karen,Male,false,Business Development,01/24/2008,5:05 AM,70949.0,11.075
Jeffrey,Female,false,Sales,04/13/2005,1:55 AM,86030.0,6.768
Anna,Male,true,Engineering,11/07/2010,3:40 AM,165806.0,8.707
Kenneth,Female,false,Legal,01/27/2018,4:25 AM,71565.0,5.114
Cynthia,Female,false,Client Services,02/23/2019,3:40 PM,96757.0,8.813
Laura,Female,false,Legal,12/12/2001,4:35 PM,99036.0,8.237
Kenneth,Female,false,Engineering,06/14/2015,6:45 AM,85105.0,7.037
Kenneth,Male,false,Client Services,12/23/2013,11:50 AM,78320.0,8.57
Jessica,,false,Sales,10/25/2003,2:00 PM,84452.0,7.33
Elizabeth,Female,false,Business Development,10/30/2018,1:50 AM,87220.0,10.417
Richard,Female,false,Distribution,04/07/2014,9:20 AM,87396.0,6.729
Emily,Male,false,Marketing,03/17/2015,11:40 AM,80320.0,9.683
Anthony,Female,false,Client Services,01/18/2006,5:15 AM,83458.0,2.935
Charles,Male,false,Client Services,08/15/2005,9:25 PM,79289.0,12.547
Nicholas,Female,false,Sales,01/12/2008,5:15 PM,68710.0,10.941
Emily,Female,false,Product,06/14/2018,1:30 PM,58268.0,8.252
Michael,Female,false,Legal,03/11/2013,3:35 AM,88864.0,8.627
Laura,Female,false,Marketing,06/16/2000,7:35 AM,106217.0,3.839
Mary,Male,false,Distribution,11/07/2011,10:20 AM,90263.0,2.852
Barbara,Male,false,Engineering,11/19/1996,1:15 AM,145775.0,9.45
Ashley,Female,false,Business Development,09/28/2002,10:15 PM,84570.0,7.507
William,Male,false,Business Development,09/28/2010,3:15 AM,58057.0,6.298
Angela,Male,false,Sales,01/31/2016,10:45 PM,105679.0,3.853
Joseph,Male,false,Marketing,11/09/2010,8:15 AM,103879.0,4.84
Barbara,Female,false,Human Resources,12/08/2009,9:15 PM,66562.0,6.408
William,,false,Engineering,05/25/1999,9:05 PM,99610.0,7.585
Michael,Female,false,Marketing,05/22/2017,8:35 AM,109434.0,13.375
Rebecca,Male,false,Product,06/26/2022,5:00 AM,114620.0,7.372
Sharon,Male,false,Sales,05/12/2020,1:10 AM,76868.0,6.619
Timothy,Male,true,Finance,02/04/2022,12:10 AM,106752.0,3.324
Michael,Male,false,Finance,03/21/2017,1:25 PM,79582.0,11.206
Andrew,Female,true,Engineering,08/03/1998,1:55 PM,126389.0,14.01
Michelle,Female,false,Finance,04/23/2003,11:55 PM,86730.0,8.618
Shirley,Female,,Client Services,09/18/2016,10:00 AM,157128.0,9.494
Kimberly,Male,false,Engineering,07/25/2019,12:35 AM,75294.0,5.71
Sandra,Male,false,Sales,07/28/2012,10:50 PM,123566.0,4.931
Jacob,Male,false,Human Resources,12/13/2002,10:30 AM,56047.0,
Eric,Female,true,Business Development,12/05/1996,11:35 AM,,7.046
William,Male,false,Finance,10/20/1999,3:15 AM,86514.0,7.166
Mark,Female,true,Marketing,02/05/2019,1:25 AM,139402.0,11.731
George,Female,false,,12/26/2017,8:30 PM,81813.0,15.326
Linda,Female,false,Product,06/05/1996,12:20 AM,98316.0,12.169
Lisa,Male,false,Marketing,12/28/2014,2:50 AM,97145.0,4.113
Joshua,Female,false,Human Resources,08/19/2013,2:45 PM,84875.0,8.534
Ashley,Female,false,Business Development,09/27/2017,9:40 AM,94641.0,6.698
Lisa,Male,false,Human Resources,09/29/2001,8:20 AM,101128.0,7.785
Kimberly,Male,false,Human Resources,12/27/2017,10:40 PM,119093.0,12.121
Amanda,Female,false,Engineering,12/04/2013,4:45 AM,91622.0,5.559
Brian,Male,true,Sales,04/29/2012,4:30 PM,134470.0,13.128
Laura,Female,true,Sales,03/05/2010,10:40 PM,80227.0,15.789
Donna,Male,false,Sales,01/04/2022,10:05 PM,61394.0,5.651
Eric,Female,true,Client Services,05/20/2011,12:30 AM,77929.0,10.752
William,Female,false,Product,05/21/2012,3:55 AM,102853.0,13.166
Ryan,Male,false,Human Resources,09/22/2021,6:10 PM,103958.0,8.815
David,Female,false,Sales,07/24/2005,12:15 PM,89750.0,11.499
Brian,Female,false,Engineering,09/16/1998,5:10 PM,79387.0,8.708
William,Male,false,Human Resources,08/12/2023,12:40 AM,96661.0,16.147
Steven,Female,true,Human Resources,11/12/2008,2:00 PM,114766.0,4.892
Michelle,Male,false,Product,02/23/2004,10:00 AM,95360.0,8.967
Linda,Male,false,Marketing,06/30/2020,4:15 PM,86829.0,8.484
Ryan,Female,false,Marketing,01/15/2020,12:10 AM,77896.0,8.689
Patricia,Male,false,Product,01/12/2014,9:00 PM,81916.0,1.024
William,Female,false,Business Development,05/07/2003,8:10 PM,95233.0,7.003
William,Female,false,Business Development,04/20/2019,10:00 AM,68627.0,7.657
Mary,Female,false,Sales,06/30/1997,8:25 PM,55367.0,4.892
Brian,Male,false,Finance,06/05/2023,5:35 PM,90982.0,9.661
Kevin,Male,false,Business Development,12/08/2006,4:20 AM,72581.0,4.256
Jonathan,Male,false,Product,06/15/2013,8:30 PM,91741.0,6.8
Deborah,Male,false,Finance,06/20/2002,3:25 PM,102127.0,7.541
Nancy,Male,false,Client Services,06/16/1998,11:05 PM,81097.0,5.04
Carol,Female,false,Human Resources,03/04/2023,9:05 AM,52701.0,0.745
Kevin,,true,Product,02/18/2007,11:25 AM,127205.0,11.717
Michelle,Female,false,Finance,12/02/2013,2:15 PM,81348.0,4.003
Kathleen,Female,false,Human Resources,11/22/2022,12:45 PM,87224.0,10.033
Emily,Female,false,Product,03/13/2018,5:15 AM,71663.0,10.144
Edward,Male,false,Marketing,11/01/2018,1:00 AM,89818.0,6.92
Anthony,Male,false,Distribution,06/05/1995,10:45 AM,53485.0,
Sharon,Male,true,Human Resources,09/28/2009,8:30 AM,169163.0,8.541
Jason,Female,false,Human Resources,11/02/2016,9:55 AM,82781.0,10.768
Laura,Female,true,Sales,10/24/1999,10:50 AM,160287.0,7.393
Paul,Female,true,Finance,12/31/2007,8:20 PM,159072.0,11.404
Susan,Male,true,Legal,03/31/2000,5:50 AM,130131.0,12.731
Jacob,Male,false,Sales,04/21/2009,12:05 AM,60570.0,8.867
Amy,Female,false,Human Resources,01/14/2018,6:35 PM,58601.0,10.474
Andrew,Male,false,Legal,12/29/2008,12:45 PM,126439.0,6.925
Mary,Male,false,Finance,02/21/2006,8:30 AM,80236.0,4.889
Susan,Male,false,Human Resources,04/17/2013,9:10 AM,96317.0,7.441
Richard,Female,false,Distribution,03/10/2007,7:05 AM,81556.0,8.917
Jason,Female,false,Sales,06/22/2023,7:35 PM,115264.0,9.272
Ryan,Female,false,Sales,01/28/2013,6:25 PM,104127.0,14.991
Christopher,Male,false,Distribution,12/20/2013,10:55 AM,54999.0,14.375
Amy,Female,false,Sales,02/19/1995,2:15 AM,72907.0,6.178
Michael,Female,false,Legal,05/12/2023,5:20 AM,83051.0,5.803
Anthony,Female,false,Business Development,11/21/2007,7:10 PM,51139.0,9.883
Rebecca,Male,false,Sales,09/07/2015,3:45 PM,75099.0,10.498
Charles,Male,false,Marketing,12/15/1997,2:10 PM,89732.0,8.941
Donna,Female,true,Sales,08/22/2006,4:50 PM,130255.0,2.055
,Male,false,Distribution,09/02/2003,5:35 PM,70900.0,7.335
Brenda,Female,true,Client Services,07/29/2014,8:25 AM,133050.0,11.102
Kevin,Female,true,Engineering,06/18/1998,1:10 PM,118603.0,11.075
Michelle,Male,false,Distribution,12/23/2004,3:05 AM,59881.0,10.055
Anna,Male,false,Distribution,05/27/2013,9:20 PM,80707.0,7.939
Daniel,Female,false,Finance,01/20/2005,9:20 PM,56974.0,9.687
Sarah,Female,false,Product,02/18/2012,2:35 PM,80259.0,10.925
Amanda,Male,false,Client Services,01/17/1995,6:00 AM,91277.0,7.416
Susan,Male,false,Distribution,11/05/2023,2:40 PM,73275.0,10.768
Shirley,Male,false,Client Services,04/01/2004,10:45 PM,79241.0,11.332
Jeffrey,Female,true,Product,03/11/1996,1:10 AM,115108.0,9.796
Stephen,Male,true,Business Development,03/28/1998,3:20 PM,150894.0,7.313
Gary,Male,false,Product,01/30/2007,3:00 AM,100021.0,7.958
Joshua,Male,false,Finance,11/06/1995,7:20 AM,82289.0,4.422
Thomas,Male,false,Finance,01/12/2002,9:25 PM,70721.0,8.989
Patricia,Male,true,Distribution,05/07/2009,11:50 AM,120240.0,9.843
Brian,Male,true,Distribution,01/20/2022,4:45 AM,70961.0,14.006
Steven,Male,false,Finance,12/08/2014,8:25 PM,99816.0,14.292
Steven,Male,false,Distribution,10/23/2019,6:15 AM,76853.0,15.171
Nancy,Female,false,Distribution,04/16/2016,7:05 PM,90652.0,9.549
Matthew,Male,false,Human Resources,03/18/2004,7:00 PM,91700.0,8.293
David,Female,false,Client Services,07/06/2019,4:15 PM,111066.0,8.893
Karen,Female,true,Sales,03/03/1999,4:40 PM,132569.0,5.941
Sandra,Male,true,Finance,10/19/2023,1:35 PM,127050.0,10.655
Nancy,Female,false,Client Services,12/03/2002,5:00 PM,56210.0,9.369
Charles,Female,true,Business Development,07/03/1996,2:05 PM,132310.0,7.542
Stephanie,Male,false,Finance,10/18/2016,4:30 PM,112234.0,7.537
Donna,Female,false,Distribution,12/03/2009,10:00 PM,69256.0,6.236
Karen,Female,false,Marketing,01/24/2014,9:05 AM,91790.0,4.012
George,Male,true,Distribution,11/29/2019,11:50 PM,85468.0,3.984
Jeffrey,Female,false,Engineering,12/29/2009,2:40 AM,45830.0,13.465
Ashley,Male,false,Client Services,04/14/2015,8:50 PM,81502.0,12.996
Amanda,Female,true,Product,05/25/2023,11:20 PM,168042.0,10.959
Shirley,Male,false,Finance,11/06/2011,9:20 AM,107926.0,6.286
Patricia,Male,false,Client Services,07/08/2005,9:45 AM,84762.0,9.487
Amy,,false,Sales,01/24/2002,4:05 AM,86542.0,5.573
Patricia,Male,true,Product,11/20/2008,12:00 PM,111876.0,6.972
Daniel,Male,false,Distribution,07/13/2014,11:50 AM,76216.0,7.227
Jonathan,Female,false,Sales,02/23/2021,2:55 AM,64612.0,4.173
Mark,Male,false,Client Services,06/13/2001,1:25 PM,47588.0,5.084
Rebecca,Female,true,Marketing,05/06/2002,10:05 AM,130731.0,7.482
Joseph,,false,Business Development,09/28/2006,2:45 AM,78907.0,5.822
George,Male,false,Client Services,01/28/2016,2:20 AM,61066.0,5.369
Gary,Male,false,Client Services,02/10/2002,9:40 PM,105300.0,4.63
James,Female,false,Finance,08/29/2004,5:15 AM,69489.0,8.417
Ashley,Female,false,Product,03/24/2009,10:30 AM,100178.0,8.265
Anna,Male,false,Client Services,08/05/1997,11:50 AM,94964.0,10.063
Lisa,Male,false,Business Development,11/15/1995,9:05 AM,84829.0,9.718
Ryan,Male,false,Engineering,05/01/2010,12:35 PM,36684.0,9.34
Patricia,Female,false,Business Development,06/08/1999,7:55 PM,67344.0,12.797
Joshua,Male,false,Sales,07/26/1996,6:35 PM,119420.0,8.459
Robert,Male,false,Sales,01/25/1995,1:55 PM,86810.0,
